session_id,label,temporal_inconsistency_score
0de64a51-9293-4783-8dc3-c06fd2ce9955,human,0.0
0ded4aea-3539-4588-bc05-320c1212db2a,human,0.0
0e023138-adec-4905-a1d5-57960a8a245a,bot_t1,0.0
0e244894-4ae1-4991-9c21-1cbe7a57312d,bot_t1,0.0
0e265578-cc89-4831-ac01-74f458c53b42,bot_t1,0.0
0e4ce54f-64d9-4bcd-b60a-d02bf4cd1657,bot_t1,0.0
0e6eddbd-ff5a-4cb0-84a7-4282d1e01a2c,bot_t1,0.0
0e8ad621-91b5-44cb-aa6d-0dc558ca2400,bot_t1,0.0
0ecaabc0-d128-4f9e-ac5e-96d27ecd4c63,human,0.0
0f4e36e2-1eed-4d9a-9b96-86ed97a203b3,human,0.0
0f560f96-3f44-40a3-8c14-d595fda0d05a,bot_t2,0.0
0f625111-79c2-45f2-9468-52be3b6b0199,bot_t2,0.0
0f76e718-c96d-4bce-b2f9-2a67f3251d69,human,0.0
0f997825-6e9b-4487-853a-697e39bb23bd,bot_t2,0.0
0ff85aca-227f-4962-a094-0c90cac50404,bot_t2,0.0
1106c241-dfe2-41b1-82ec-bb5ce504a4b4,bot_t1,0.0
11103112-b5ba-487e-a628-76bd19845677,bot_t3,0.0
11261d5a-20b8-463d-844e-b37758c08ab2,human,0.0
11379a27-c42c-46ac-9dbe-e1d7c9d83504,bot_t2,0.0
11563152-32d5-4402-916f-5fc9dfc4f0dd,bot_t2,0.0
117bb939-45a1-4e51-92d9-585f69fe9e90,human,0.0
11975652-244a-4b47-b000-55d06baddc79,bot_t3,0.0
11b065a2-41b9-4fe9-b0f8-6be92c70378f,bot_t2,0.0
11b3ebc6-4f3b-4b23-83c5-1b5f7023f02d,bot_t2,0.0
11b54bcf-5d7f-4820-82ef-02314a870aa8,bot_t3,0.0
11be1c07-286d-4ae9-ad75-1ca2ba66ea50,human,0.0
11df0cc4-136d-49b4-992a-67f60bdc2acf,bot_t2,0.0
12178b32-19bc-4625-a2af-565d808132a4,bot_t1,0.0
12706bb5-1115-4500-829e-238c404d7132,human,0.0
12af17fa-53b6-4cb4-934d-065bcad45126,human,0.0
12cc3727-7aea-4092-b02d-7da0e4f3efe6,bot_t1,0.0
12f8687b-3304-436c-af11-39b579b55f48,bot_t2,0.0
1311c5cc-94a2-4072-b7c3-cfa66a0e7397,bot_t2,0.0
1330d5bb-ee9f-46f0-96b6-fa85917a3ba2,human,0.0
136afab7-a1f8-48b2-a715-99af0b72aac1,bot_t1,0.0
13787b8b-8eb3-4207-ac7f-bb24472942bc,bot_t1,0.0
137e4797-ccbe-469e-9d88-cfe9bc5ef813,bot_t2,0.0
13c41c70-f608-4088-8425-d6eabb8c0282,human,0.0
13d9f3c0-3126-443f-a7e1-3755e4a81417,bot_t2,0.0
13dcb46f-44f2-414f-80f4-8e64a5ad730b,bot_t3,0.0
13ea8b3d-65fd-4b35-a0b9-7cfa653dfd04,bot_t1,0.0
1418d74c-c54c-4985-a806-a2f28432851f,human,0.0
142145c5-bf90-4580-9fd9-1a9bef975d98,bot_t2,0.0
14238415-5e55-42aa-9631-893e87228ab0,human,0.0
142914bc-7663-4f7d-ae2d-51b193ca6c89,bot_t3,0.0
1480f698-e99d-4273-8169-502d5d078fb0,bot_t3,0.0
14c06e36-087d-494a-9de1-36c0ae041327,bot_t1,0.0
14d3f15b-1340-4096-894f-246cd61c1344,human,0.0
152897f3-f201-4bdf-b946-7886fad5554c,bot_t1,0.0
153991bc-d1ac-4e59-836d-17cce6a57316,human,0.0
158cc03c-25f3-4bc5-ba34-d31fbd7d1f67,bot_t1,0.0
159b4635-35fe-47b9-bf90-cef34adc0613,bot_t1,0.0
16414cb8-588c-40b1-ba58-5fc8ba52af84,bot_t1,0.0
1670664e-bbbc-489f-b10c-b28600b9c49d,bot_t1,0.0
1699da26-63e7-49d3-bb28-fa2649410b4f,bot_t1,0.0
16bf90e2-6ea8-4da9-af3a-98aa3e46f1e8,bot_t3,0.0
16d39a11-aa9a-4c73-a675-7c56a05c97ce,bot_t3,0.0
1712f081-6c11-45f2-bbb1-9465e5175f85,human,0.0
172689a8-03eb-42f6-96da-27269007ba0c,bot_t1,0.0
1736aa01-b384-429e-945a-eecf02aa2ea0,human,0.0
1759e9bb-b693-4d7f-a909-27fa5a45cd89,human,0.0
17c6bd0f-52b7-4b59-81ea-d6c4f35ab968,bot_t2,0.0
17cb0f44-7173-4069-9022-8a5e0347bf1e,bot_t2,0.0
17d57d62-a359-4455-bea3-5164f65528de,human,0.0
17e16840-5761-47de-8311-d84d6220a375,bot_t1,0.0
180600db-85f7-4072-9580-7faf7520e2c1,human,0.0
180a3d60-d76a-4258-93f6-b62c655b173f,bot_t2,0.0
183539e8-25cb-40f0-93ad-c59082d216f3,human,0.0
1837da17-ea2a-46c7-bfa2-2008611edead,bot_t2,0.0
184289b2-0e04-4829-940e-fc4177a10880,bot_t3,0.0
18561979-2b59-40ec-a8e3-893835924e23,bot_t2,0.0
18a1b9ad-496b-4e6f-863e-9121d3addd60,bot_t1,0.0
18ab1555-07a4-4b9d-9894-1481ee68bd74,human,0.0
18b92898-da11-4401-8c76-4656f6e82621,bot_t1,0.0
18caa301-ae17-4c38-af48-ba9db717b25b,human,0.0
18f73689-db33-435b-98d6-f24df7abe24f,bot_t3,0.0
190e3f1a-93dc-47f2-91f1-ed89fc671eac,bot_t2,0.0
19471aae-9766-47a4-93d5-453214b65101,human,0.0
194ba9c0-4494-4103-90f6-d5c5c55dc4a2,bot_t3,0.0
1957db50-ebae-442c-9b4b-c0f9bb949d2d,human,0.0
1965e0f5-0abf-4e7d-bc07-116bd8f6e929,bot_t3,0.0
196c7011-2f36-4724-aed5-8a971d6511ef,bot_t2,0.0
1972650e-88a5-4f1f-a746-2c2abf62ff99,bot_t3,0.0
19eecf70-e276-4084-ad8a-9d9adf083d7b,human,0.0
19fabd8b-0d62-4664-9c85-ac130fbccf8d,human,0.0
1a3744cd-5dd8-4e03-b0e2-df85cabec988,bot_t2,0.0
1a5a258d-17c1-4ed5-a640-0e6c47599f6b,bot_t1,0.0
1a77115a-e4e7-42a8-931f-a387fef72e3a,bot_t3,0.0
1a8810bb-ac4d-4ef4-91a1-8f29a4a6ac44,bot_t3,0.0
1a9f6bc2-92cc-4d51-bd72-e1e47e846384,human,0.0
